case_id,document_id,hypothesis_id,gold_label,predicted_label,parse_status,source_valid_evidence,gold_evidence_overlap,retrieval_contains_gold,joint_success,retrieval_aware_family,input_tokens,output_tokens,generation_latency_ms,cost_usd,notes
train::88::nda-1,88,nda-1,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1210,902,12180.257499916479,0.0021065,
train::88::nda-2,88,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1204,1241,12055.382208898664,0.002783,
train::92::nda-17,92,nda-17,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,1160,1311,10557.012583944015,0.002912,
train::92::nda-20,92,nda-20,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1165,1235,8893.923917086795,0.00276125,
train::102::nda-1,102,nda-1,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),943,696,6393.714708043262,0.00162775,
train::102::nda-19,102,nda-19,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,1034,747,9277.358500054106,0.0017525000000000002,
train::105::nda-2,105,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1209,762,8025.50012501888,0.00182625,
train::106::nda-1,106,nda-1,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1093,922,11395.10575006716,0.0021172499999999998,
train::106::nda-2,106,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1135,784,7023.189416038804,0.0018517499999999999,
train::137::nda-20,137,nda-20,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1028,1056,9932.807249948382,0.002369,
train::141::nda-7,141,nda-7,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,834,1859,12564.193708007224,0.0039265,
train::161::nda-2,161,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1129,527,6679.308834020048,0.00133625,
train::161::nda-7,161,nda-7,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1216,834,9231.401790981181,0.001972,
train::168::nda-2,168,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1064,727,8338.964416994713,0.00172,
train::178::nda-17,178,nda-17,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,990,1134,11707.571208011359,0.0025155,
train::178::nda-20,178,nda-20,Contradiction,NotMentioned,strict,True,False,True,False,B_reasoning_limited,993,880,9825.889582978562,0.00200825,
train::239::nda-17,239,nda-17,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,512,399,3070.4297081101686,0.000926,
train::239::nda-20,239,nda-20,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),515,654,6234.565875027329,0.0014367499999999999,
train::276::nda-17,276,nda-17,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,1208,593,5688.555541913956,0.001488,
train::276::nda-20,276,nda-20,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1211,1189,13051.480915979482,0.00268075,
train::283::nda-1,283,nda-1,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1351,1176,14520.459083025344,0.00268975,
train::283::nda-2,283,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1239,1402,12786.81341605261,0.00311375,
train::300::nda-2,300,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1244,579,5566.69679202605,0.001469,
train::300::nda-20,300,nda-20,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1122,950,7470.987707958557,0.0021805,
train::316::nda-17,316,nda-17,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,1077,688,5693.581833038479,0.00164525,
train::316::nda-2,316,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1071,1027,8604.481084039435,0.00232175,
train::318::nda-2,318,nda-2,Contradiction,Contradiction,strict,True,True,True,False,n/a (correct),1169,812,8801.335916039534,0.00191625,
train::338::nda-17,338,nda-17,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,1029,755,9933.885874925181,0.0017672500000000002,
train::338::nda-2,338,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1033,554,6684.308083029464,0.00136625,
train::366::nda-2,366,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1082,735,7992.004625033587,0.0017404999999999999,
train::366::nda-20,366,nda-20,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1090,751,6434.923416934907,0.0017745,
train::373::nda-11,373,nda-11,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1127,503,5456.89599995967,0.0012877499999999998,
train::373::nda-2,373,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1199,1202,9796.09116690699,0.00270375,
train::438::nda-2,438,nda-2,Contradiction,Contradiction,strict,True,False,False,False,n/a (correct),1266,574,6278.732291073538,0.0014644999999999999,
train::438::nda-20,438,nda-20,Contradiction,NotMentioned,strict,True,False,True,False,B_reasoning_limited,1324,1237,14746.633041999303,0.002805,
train::473::nda-17,473,nda-17,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,1118,795,9082.315667066723,0.0018695,
train::473::nda-7,473,nda-7,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),996,1106,9415.225083008409,0.002461,
train::487::nda-2,487,nda-2,Contradiction,Contradiction,strict,False,True,True,True,C_evidence_selection_failure,1107,721,6136.2483750563115,0.0017187499999999998,
train::487::nda-20,487,nda-20,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1086,765,7285.231209010817,0.0018015,
train::501::nda-1,501,nda-1,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1065,708,6716.74854203593,0.00168225,
train::501::nda-2,501,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1060,808,7163.726583006792,0.001881,
train::515::nda-2,515,nda-2,Contradiction,Contradiction,strict,False,False,True,False,C_evidence_selection_failure,1784,826,8829.65070893988,0.002098,
train::515::nda-20,515,nda-20,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1624,1232,12644.037374993786,0.00287,
train::551::nda-2,551,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1135,1031,8507.457499974407,0.00234575,
train::551::nda-20,551,nda-20,Contradiction,Entailment,strict,True,True,True,False,B_reasoning_limited,1100,1083,7741.110666072927,0.002441,
train::553::nda-2,553,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1220,1604,11449.397374992259,0.003513,
train::553::nda-20,553,nda-20,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1335,955,15726.234124973416,0.00224375,
train::560::nda-1,560,nda-1,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1218,854,11529.996374971233,0.0020125,
train::560::nda-2,560,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1304,989,9495.194916031323,0.002304,
train::618::nda-2,618,nda-2,Contradiction,Contradiction,strict,True,True,True,True,n/a (correct),1212,1052,9254.730624961667,0.002407,
train::145::nda-12,145,nda-12,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1375,581,6515.2449160814285,0.0015057500000000001,
train::145::nda-13,145,nda-13,Entailment,Entailment,strict,True,True,True,True,n/a (correct),1284,382,3171.1660410510376,0.001085,
train::146::nda-13,146,nda-13,Entailment,Entailment,strict,True,True,True,True,n/a (correct),979,691,6725.3726669587195,0.00162675,
