case_id,document_id,hypothesis_id,gold_label,predicted_label,parse_status,evidence_valid,retrieval_contains_gold,joint_success,retrieval_aware_family,failure_family,input_tokens,generation_latency_ms,total_retrieval_latency_ms,notes
train::88::nda-1,88,nda-1,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1245,11171.350041986443,2999.351041042246,
train::88::nda-2,88,nda-2,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1239,8899.144208058715,648.8046660088003,
train::92::nda-17,92,nda-17,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1193,5247.385291964747,217.528291977942,
train::92::nda-20,92,nda-20,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1189,5336.168250069022,272.30295806657523,
train::102::nda-1,102,nda-1,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),967,4178.779000067152,254.40175004769117,
train::102::nda-19,102,nda-19,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1064,4627.415291965008,194.39445796888322,
train::105::nda-2,105,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1236,5415.410583023913,262.01958407182246,
train::106::nda-1,106,nda-1,Contradiction,Entailment,strict,True,True,False,B_reasoning_limited,exception_carveout_candidate,1110,7329.716874985024,552.3997079581022,
train::106::nda-2,106,nda-2,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1146,15847.465250059031,730.7056669378653,
train::137::nda-20,137,nda-20,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1050,4794.012791942805,591.9760409742594,
train::141::nda-7,141,nda-7,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),871,3818.0085830390453,392.034292104654,
train::161::nda-2,161,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1136,4848.349125008099,300.99116696510464,
train::161::nda-7,161,nda-7,Contradiction,Contradiction,strict,False,True,False,C_evidence_selection_failure,n/a (correct),1228,11886.867041001096,584.3030419200659,
train::168::nda-2,168,nda-2,Contradiction,NotMentioned,strict,True,True,False,B_reasoning_limited,NotMentioned_overprediction (evidence was present),1112,5126.816791947931,571.2500420631841,
train::178::nda-17,178,nda-17,Contradiction,Contradiction,strict,True,True,True,n/a (correct),n/a (correct),1006,7410.141499945894,254.8593340907246,
