case_id,document_id,hypothesis_id,gold_label,predicted_label,parse_status,evidence_valid,evidence_hit,joint_success,failure_families,input_tokens,latency_ms,notes
train::88::nda-1,88,nda-1,Contradiction,Entailment,strict,False,False,False,A_classification_reasoning_failure;E_exception_carveout_candidate;B_evidence_selection_failure,1510,14832.697250065394,
train::88::nda-2,88,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1505,6457.67299993895,
train::92::nda-17,92,nda-17,Contradiction,Contradiction,strict,False,False,False,B_evidence_selection_failure,2146,11951.203416916542,
train::92::nda-20,92,nda-20,Contradiction,Contradiction,strict,True,False,False,,2149,13404.24525004346,
train::102::nda-1,102,nda-1,Contradiction,Entailment,strict,True,False,False,A_classification_reasoning_failure;E_exception_carveout_candidate,1624,8811.393124982715,
train::102::nda-19,102,nda-19,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1621,7208.086333004758,
train::105::nda-2,105,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,2250,9894.43658303935,
train::106::nda-1,106,nda-1,Contradiction,Entailment,strict,True,False,False,A_classification_reasoning_failure;E_exception_carveout_candidate,2146,11402.736083022319,
train::106::nda-2,106,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,2141,9167.48879197985,
train::137::nda-20,137,nda-20,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1044,4537.095667095855,
train::141::nda-7,141,nda-7,Contradiction,Contradiction,strict,False,False,False,B_evidence_selection_failure,868,7176.454333006404,
train::161::nda-2,161,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,2889,12288.225334021263,
train::161::nda-7,161,nda-7,Contradiction,Contradiction,strict,True,True,False,,2903,17292.37970802933,
train::168::nda-2,168,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1109,4764.546499936841,
train::178::nda-17,178,nda-17,Contradiction,Contradiction,strict,True,True,True,,1001,7379.85220795963,
train::178::nda-20,178,nda-20,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1004,4390.271041891538,
train::239::nda-17,239,nda-17,Contradiction,Contradiction,strict,True,True,True,,527,3641.20524993632,
train::239::nda-20,239,nda-20,Contradiction,Contradiction,strict,True,True,True,,530,4434.543999959715,
train::276::nda-17,276,nda-17,Contradiction,Contradiction,strict,True,True,True,,1365,8619.0700000152,
train::276::nda-20,276,nda-20,Contradiction,Contradiction,strict,True,True,True,,1368,10195.023416075855,
train::283::nda-1,283,nda-1,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,2271,9509.507625014521,
train::283::nda-2,283,nda-2,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,2266,9569.70212503802,
train::300::nda-2,300,nda-2,Contradiction,Contradiction,strict,False,False,False,B_evidence_selection_failure,1918,12328.847208060324,
train::300::nda-20,300,nda-20,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1928,8175.381375011057,
train::316::nda-17,316,nda-17,Contradiction,NotMentioned,strict,True,False,False,A_classification_reasoning_failure;G_notmentioned_overprediction;E_exception_carveout_candidate,1890,8002.73483293131,
