case_id,label,requirement,gold_span_count,gold_evidence_excerpt,top_retrieved_chunk_ids,top_retrieved_excerpt,gold_best_rank,failure_family,notes
train::87::nda-3,Entailment,Confidential Information may include verbally conveyed information.,2,"“Confidential Information” under this Agreement consists of: (iv) all observations of equipment (including computer screens) and oral disclosures related to the development of any Cyber Mutual Assistance Program or a specific request for or response to cyber mutual assistance, including the systems,","6,9,5,7,3","Upon receipt of a Freedom of Information Act or public records disclosure request, such Participating Entity shall: (i) notify each Participating Entity or Participating Entities whose information is subject to such disclosure request immediately upon receipt of a request for public records that inc",7,ranking_failure_gold_beyond_top_k,
train::89::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,The Data Recipient hereby acknowledges that the DOHMH is the exclusive owner of the Data and all trade secrets and other rights therein.  No license or conveyance of any such rights is granted or implied under this Agreement. ,"21,9,3,20,4","Nothing contained herein shall constitute any representation, warranty, or guarantee to the Data Recipient with respect to the value or accuracy of the Data or information exchanged or that such exchanged information does not infringe any rights of third parties. The City shall not be held liable fo",7,ranking_failure_gold_beyond_top_k,
train::89::nda-7,Entailment,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",2,"A. Nothing express or implied in this Agreement is intended to confer, nor shall anything herein confer, upon any person other than the Parties, any rights, remedies, obligations, or liabilities whatsoever. 1. Only the Data Recipient’s employees and/or consultants required to use the Data to perform","11,9,4,10,7","3. Accounting for Unauthorized or Inadvertent Use or Disclosure. In the event that an unauthorized or inadvertent use or disclosure of Data provided by DOHMH is made to a third party, Data Recipient shall ensure that a proper record of such unauthorized or inadvertent use or disclosure is kept and i",14,ranking_failure_gold_beyond_top_k,
train::89::nda-17,Contradiction,Receiving Party may create a copy of some Confidential Information in some circumstances.,1,"Except as set forth in Section III, Data Recipient shall not reproduce the Data in any form without the prior written consent of DOHMH.","11,16,3,10,9","3. Accounting for Unauthorized or Inadvertent Use or Disclosure. In the event that an unauthorized or inadvertent use or disclosure of Data provided by DOHMH is made to a third party, Data Recipient shall ensure that a proper record of such unauthorized or inadvertent use or disclosure is kept and i",11,ranking_failure_gold_beyond_top_k,
train::89::nda-5,Entailment,Receiving Party may share some Confidential Information with some of Receiving Party's employees.,1,"1. Only the Data Recipient’s employees and/or consultants required to use the Data to perform the functions of this Agreement that are set forth in Attachment B, and so designated by Data Recipient as “Authorized Users” in Attachment C to this Agreement, will be given access to the Data.","9,10,11,23,4","1. Disclosure of Individually Identifiable Information. Data Recipient shall not disclose Data, or any information it receives pursuant to this Agreement that is individually identifiable information, or information, which combined with publicly available information, may reasonably be used to ident",14,ranking_failure_gold_beyond_top_k,
train::89::nda-4,Entailment,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,2,"Except as otherwise provided in this Agreement, Data Recipient shall not, at any time, directly or indirectly disclose, share, give, loan, sell, or otherwise grant access to the Data provided pursuant to this Agreement, in part or in whole, to any other person or organization.  A. Data Recipient agr","21,9,4,20,3","Nothing contained herein shall constitute any representation, warranty, or guarantee to the Data Recipient with respect to the value or accuracy of the Data or information exchanged or that such exchanged information does not infringe any rights of third parties. The City shall not be held liable fo",7,ranking_failure_gold_beyond_top_k,
train::91::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,1,"13. “Confidential Information” shall not include information which, now or in the future, is available to the public (other than through improper disclosure by the Receiving Party); information rightly acquired from a third party without any obligation of confidentiality; information that is indepen","1,6,3,5,4","NOW, THEREFORE, in consideration of the foregoing and the mutual covenants made herein, each party hereby agrees as follows:
I. DEFINITIONS:
A. “Confidential Information” as used herein any and all confidential and/or proprietary information concerning the Originating Party’s business and such party",6,ranking_failure_gold_beyond_top_k,
train::91::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,1,"13. “Confidential Information” shall not include information which, now or in the future, is available to the public (other than through improper disclosure by the Receiving Party); information rightly acquired from a third party without any obligation of confidentiality; information that is indepen","3,1,5,6,4","D. “Receiving Party” as used herein shall refer to the party who receives the Confidential Information or Intellectual Property from the Originating Party.
E. “Representative” means directors, officers, employees, accountants, attorneys, lenders of funds and agents of a party or its affiliates.
II. ",6,ranking_failure_gold_beyond_top_k,
train::92::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"Neither party shall disclose the Purpose or the existence of this Agreement or reveal that discussions are taking place between the parties to another person without the prior written consent of the other party except to the extent that such disclosure is required by law, by a court of competent jur","4,3,1,2,5","(a) to the extent it is or becomes generally available to the public other than through a breach of this Agreement;
(b) which the Receiving Party can show by its written or other records was in its lawful possession prior to receipt from the Disclosing Party and which had not previously been obtaine",6,ranking_failure_gold_beyond_top_k,
train::92::nda-3,Entailment,Confidential Information may include verbally conveyed information.,1,"Confidential Information means any information disclosed (whether before or after the date of this Agreement, in writing, verbally or otherwise and whether directly or indirectly) by or on behalf of the Disclosing Party or an Affiliate of the Disclosing Party to the Receiving Party in connection wit","4,6,8,2,3","(a) to the extent it is or becomes generally available to the public other than through a breach of this Agreement;
(b) which the Receiving Party can show by its written or other records was in its lawful possession prior to receipt from the Disclosing Party and which had not previously been obtaine",6,ranking_failure_gold_beyond_top_k,
