case_id,document_id,hypothesis_id,gold_label,gpt_predicted_label,classification_correct,gpt_source_valid_evidence,gpt_gold_evidence_overlap,retrieval_contains_gold_in_final_top5,bm25_top20_gold_rank,primary_bucket,oracle_action_needed,review_note
train::102::nda-19,102,nda-19,Contradiction,Entailment,False,True,True,True,2,MODEL_REASONING_LIMITED,none,GPT's own quoted evidence overlaps gold; concludes Entailment where the same evidence supports Contradiction. Pure reasoning failure over correctly-identified evidence.
train::126::nda-1,126,nda-1,NotMentioned,Contradiction,False,True,,,,MODEL_REASONING_LIMITED,none,"Quotes a real 'circumstances ought to be treated as confidential' definitional clause; over-generalizes to contradict the specific 'expressly identified' marking requirement. Evidence present, verbatim, correctly located."
train::141::nda-7,141,nda-7,Contradiction,Entailment,False,True,True,True,1,MODEL_REASONING_LIMITED,none,"Same pattern -- correct evidence quoted, wrong conclusion drawn."
train::160::nda-10,160,nda-10,Entailment,NotMentioned,False,True,False,False,2,RETRIEVAL_FILTERING_LIMITED,expand_final_k,"Gold evidence at BM25 top-20 rank 2, cut by the reranker before top-5 -- same case E08 flagged for Qwen."
train::178::nda-17,178,nda-17,Contradiction,Entailment,False,True,True,True,1,MODEL_REASONING_LIMITED,none,Quotes the flat 'shall not copy without prior written consent' clause (gold evidence) but still concludes Entailment for 'may copy in some circumstances' -- conflates a written-consent exception with a circumstantial one.
train::178::nda-20,178,nda-20,Contradiction,NotMentioned,False,True,False,True,1,MODEL_REASONING_LIMITED,none,"The SAME document/context as train::178::nda-17 (where GPT DID quote the relevant return-clause for a different hypothesis) -- here GPT returns empty evidence and predicts NotMentioned despite the same clause being present. Inconsistent attention across hypotheses on identical context, not missing information."
train::187::nda-1,187,nda-1,NotMentioned,Contradiction,False,True,,,,MODEL_REASONING_LIMITED,none,"Same nda-1 pattern: quotes a general 'deemed confidential' definitional clause, treats it as contradicting an explicit-marking requirement it doesn't actually address."
train::222::nda-3,222,nda-3,NotMentioned,Entailment,False,True,,,,MODEL_REASONING_LIMITED,none,"Quotes broad category-definition clauses (1.1.1, 1.1.6); over-generalizes to entail 'may include verbally conveyed information' which the clauses don't specifically state."
train::239::nda-17,239,nda-17,Contradiction,Entailment,False,True,True,True,2,MODEL_REASONING_LIMITED,none,"Same nda-17 copy-vs-disclose confusion pattern, correct evidence present."
train::247::nda-10,247,nda-10,Entailment,NotMentioned,False,True,False,False,6,RETRIEVAL_FILTERING_LIMITED,expand_final_k,"Gold evidence at BM25 top-20 rank 6, cut before top-5."
train::248::nda-10,248,nda-10,Entailment,Contradiction,False,True,True,True,2,MODEL_REASONING_LIMITED,none,"Correct evidence overlaps gold; label flipped from Entailment to Contradiction anyway -- reasoning error, not missing information."
train::273::nda-1,273,nda-1,Entailment,NotMentioned,False,True,False,True,4,DYNAMIC_INFORMATION_ACQUISITION,follow_cross_reference,"Gold evidence is itself a cross-reference: '""Target Confidential Information"" means Information falling within paragraphs (a) to (c) of the definition of ""Confidential Information""' -- resolving this requires locating the referenced (a)-(c) sub-clauses, which may live in a different part of the document than what retrieval surfaced. GPT returned empty evidence/NotMentioned, consistent with not having the referenced text. PASSES all 6 strict agentic criteria: context references an unresolved external definition; the referenced content could change the decision; which paragraphs to fetch is case-specific (document structure varies); a single fixed rule (e.g. always append 'the next N sentences') is not reliable across differently-structured NDAs; the cross-reference wording ('paragraphs (a) to (c) of the definition of X') is a concrete, inference-time-observable signal; and fetching it would change the model's available information."
train::273::nda-10,273,nda-10,Entailment,Entailment,True,True,True,True,11,EVIDENCE_SELECTION_LIMITED,none,"Correct label; evidence overlaps only part of a multi-span gold answer (below the 0.5 joint threshold) -- a partial-coverage evidence-selection issue, not a missing-information one."
train::276::nda-17,276,nda-17,Contradiction,Entailment,False,True,True,True,2,MODEL_REASONING_LIMITED,none,Same nda-17 pattern.
train::278::nda-1,278,nda-1,NotMentioned,Contradiction,False,True,,,,MODEL_REASONING_LIMITED,none,Same nda-1 pattern.
train::279::nda-1,279,nda-1,NotMentioned,Contradiction,False,True,,,,MODEL_REASONING_LIMITED,none,"Same nda-1 pattern -- quotes the standard confidentiality-obligation clause, not the marking requirement."
