case_id,gold_label,retrieval_contains_gold,p0_prediction,p1_prediction,p2_prediction,p0_correct,p1_correct,p2_correct,prompt_sensitive,failure_source,failure_family,notes
train::86::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::86::nda-20,Contradiction,True,Contradiction,NotMentioned,NotMentioned,True,False,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::93::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (NotMentioned/Contradiction confusion),
train::93::nda-7,Contradiction,True,Contradiction,NotMentioned,NotMentioned,True,False,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::116::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (NotMentioned/Contradiction confusion),
train::135::nda-19,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::135::nda-7,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::136::nda-1,Contradiction,False,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,retrieval_limited,gold evidence absent from retrieval_v1 top-5 context,
train::136::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::137::nda-1,Contradiction,True,Entailment,Entailment,Entailment,False,False,False,False,reasoning_prompt_limited,Contradiction->Entailment (candidate: exception/carve-out clause present),
train::137::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::142::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::142::nda-7,Contradiction,True,Contradiction,NotMentioned,NotMentioned,True,False,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::200::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::200::nda-7,Contradiction,True,Contradiction,NotMentioned,NotMentioned,True,False,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::222::nda-1,Contradiction,False,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,retrieval_limited,gold evidence absent from retrieval_v1 top-5 context,
train::222::nda-17,Contradiction,True,Contradiction,Contradiction,Contradiction,True,True,True,False,n/a (all correct),n/a,
train::226::nda-17,Contradiction,True,Contradiction,NotMentioned,NotMentioned,True,False,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::226::nda-20,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::264::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::295::nda-17,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (NotMentioned/Contradiction confusion),
train::314::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::323::nda-19,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::323::nda-2,Contradiction,True,Contradiction,NotMentioned,NotMentioned,True,False,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::337::nda-1,Contradiction,False,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,retrieval_limited,gold evidence absent from retrieval_v1 top-5 context,
train::337::nda-2,Contradiction,True,Contradiction,Contradiction,NotMentioned,True,True,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::352::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::356::nda-7,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::403::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::403::nda-20,Contradiction,True,Contradiction,NotMentioned,NotMentioned,True,False,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::407::nda-20,Contradiction,True,Contradiction,Contradiction,NotMentioned,True,True,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::418::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::418::nda-20,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::419::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::419::nda-20,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::426::nda-1,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::426::nda-2,Contradiction,True,Contradiction,NotMentioned,NotMentioned,True,False,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::492::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::492::nda-20,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::500::nda-17,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::500::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::505::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::505::nda-5,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::545::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::545::nda-7,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::548::nda-2,Contradiction,True,NotMentioned,Entailment,Entailment,False,False,False,True,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::548::nda-20,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::556::nda-1,Contradiction,True,Entailment,Entailment,Entailment,False,False,False,False,reasoning_prompt_limited,Contradiction->Entailment (candidate: exception/carve-out clause present),
train::556::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::602::nda-2,Contradiction,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Contradiction->NotMentioned (candidate: exception/carve-out clause present),
train::109::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::109::nda-13,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::114::nda-1,Entailment,False,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,retrieval_limited,gold evidence absent from retrieval_v1 top-5 context,
train::114::nda-13,Entailment,True,Contradiction,NotMentioned,NotMentioned,False,False,False,True,reasoning_prompt_limited,Entailment->Contradiction (candidate: negation present in context),
train::121::nda-13,Entailment,True,Contradiction,NotMentioned,NotMentioned,False,False,False,True,reasoning_prompt_limited,Entailment->Contradiction (candidate: negation present in context),
train::121::nda-15,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::149::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::149::nda-13,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::162::nda-10,Entailment,True,Contradiction,NotMentioned,NotMentioned,False,False,False,True,reasoning_prompt_limited,Entailment->Contradiction (candidate: negation present in context),
train::162::nda-11,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::170::nda-10,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::170::nda-12,Entailment,True,Entailment,Entailment,NotMentioned,True,True,False,True,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::171::nda-1,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::171::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::182::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::182::nda-13,Entailment,True,Contradiction,NotMentioned,NotMentioned,False,False,False,True,reasoning_prompt_limited,Entailment->Contradiction (candidate: negation present in context),
train::242::nda-1,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::242::nda-15,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::268::nda-10,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::268::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::312::nda-1,Entailment,False,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,retrieval_limited,gold evidence absent from retrieval_v1 top-5 context,
train::312::nda-13,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::318::nda-1,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::318::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::346::nda-10,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::346::nda-13,Entailment,False,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,retrieval_limited,gold evidence absent from retrieval_v1 top-5 context,
train::358::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::358::nda-13,Entailment,True,Entailment,NotMentioned,Entailment,True,False,True,True,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::453::nda-10,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::453::nda-13,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::462::nda-10,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::462::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::474::nda-10,Entailment,True,Entailment,Entailment,NotMentioned,True,True,False,True,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::474::nda-12,Entailment,True,NotMentioned,Entailment,Entailment,False,True,True,True,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::503::nda-10,Entailment,False,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::503::nda-12,Entailment,True,Contradiction,Entailment,NotMentioned,False,True,False,True,reasoning_prompt_limited,Entailment->Contradiction (candidate: negation present in context),
train::538::nda-10,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::538::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::553::nda-10,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::553::nda-16,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::577::nda-10,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::577::nda-12,Entailment,True,NotMentioned,Entailment,NotMentioned,False,True,False,True,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::579::nda-10,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::579::nda-12,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::588::nda-10,Entailment,True,Entailment,Entailment,NotMentioned,True,True,False,True,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::588::nda-12,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::593::nda-10,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::593::nda-12,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::602::nda-10,Entailment,True,Entailment,Entailment,Entailment,True,True,True,False,n/a (all correct),n/a,
train::602::nda-12,Entailment,True,NotMentioned,NotMentioned,NotMentioned,False,False,False,False,reasoning_prompt_limited,Entailment->NotMentioned (candidate: negation present in context),
train::94::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::94::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::134::nda-10,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::134::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::146::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::146::nda-10,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::149::nda-10,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::149::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::200::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::200::nda-10,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::207::nda-10,NotMentioned,,Entailment,Entailment,Contradiction,False,False,False,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Entailment (candidate: negation present in context),
train::207::nda-11,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::235::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::235::nda-10,NotMentioned,,NotMentioned,Entailment,Entailment,True,False,False,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Entailment (candidate: negation present in context),
train::251::nda-11,NotMentioned,,Entailment,Entailment,Entailment,False,False,False,False,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Entailment (candidate: negation present in context),
train::251::nda-16,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::252::nda-1,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::252::nda-10,NotMentioned,,NotMentioned,NotMentioned,NotMentioned,True,True,True,False,n/a (all correct),n/a,
train::264::nda-1,NotMentioned,,Entailment,NotMentioned,NotMentioned,False,True,True,True,reasoning_prompt_limited (no gold evidence exists),NotMentioned->Entailment (candidate: negation present in context),
