case_id,document_id,hypothesis_id,gold_label,predicted_label,correct,rule_fired,rule_polarity,matched_phrase,matched_span_start,matched_span_end,evidence_hit,joint_success,failure_family,notes
train::34::nda-11,34,nda-11,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::34::nda-16,34,nda-16,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::34::nda-15,34,nda-15,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::34::nda-10,34,nda-10,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::34::nda-2,34,nda-2,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::34::nda-1,34,nda-1,Entailment,Entailment,True,True,positive_fired,designated as confidential,1656,1682,True,True,n/a (fully correct),
train::34::nda-19,34,nda-19,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::34::nda-12,34,nda-12,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::34::nda-20,34,nda-20,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::34::nda-3,34,nda-3,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::34::nda-18,34,nda-18,NotMentioned,NotMentioned,True,False,none_fired,,,,,True,n/a (fully correct),
train::34::nda-7,34,nda-7,Entailment,Entailment,True,True,positive_fired,consultants,5609,5620,False,False,"correct label, misaligned/wrong evidence span",
train::34::nda-17,34,nda-17,Entailment,NotMentioned,False,False,none_fired,,,,False,False,"default NotMentioned overuse (Entailment->NotMentioned, no phrase matched)",
train::34::nda-8,34,nda-8,Entailment,Entailment,True,True,positive_fired,required by law,3439,3454,True,True,n/a (fully correct),
