case_id,gold_label,predicted_label,correct,joint_success,retrieval_contains_gold,source_valid_evidence,gold_evidence_overlap,bm25_top20_rank,post_rerank_rank_of_20,would_top10_include,score_margin,failure_primary,failure_secondary,quantification_bucket,runtime_observable_signal,oracle_action_needed,oracle_action_target,static_fix_possible,dynamic_action_required,recoverable_in_principle,in_e05_gain_sample,in_e05_regress_sample,manually_reviewed
train::102::nda-1,Contradiction,NotMentioned,False,False,True,True,False,,,,1.8295683860778809,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,False,True
train::102::nda-19,Contradiction,NotMentioned,False,False,True,True,False,,,,8.187234699726105,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue",none_identified,,False,False,False,False,False,True
train::105::nda-2,Contradiction,NotMentioned,False,False,True,True,False,,,,8.79757022857666,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"cross_reference_cue,exception_carveout_cue,defined_term_missing_cue",none_identified,,False,False,False,False,False,True
train::106::nda-1,Contradiction,Entailment,False,False,True,True,False,,,,3.064483165740967,MODEL_REASONING_LIMITED,,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::125::nda-10,NotMentioned,NotMentioned,True,True,,True,,,,,3.3207820057868958,n/a (correct),,n/a (correct),exception_carveout_cue,none_identified,,False,False,False,True,False,True
train::137::nda-20,Contradiction,NotMentioned,False,False,True,True,False,,,,9.671761274337769,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,exception_carveout_cue,none_identified,,False,False,False,False,False,True
train::141::nda-7,Contradiction,NotMentioned,False,False,True,True,False,,,,9.71536672115326,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,exception_carveout_cue,search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::145::nda-12,Entailment,Contradiction,False,False,True,True,True,,,,5.203158140182495,AGENTICALLY_FIXABLE,,agentically_fixable,"cross_reference_cue,exception_carveout_cue",follow_cross_reference,the gold-relevant chunk itself references another section/definition not in the retrieved context,False,True,True,False,False,True
train::145::nda-13,Entailment,NotMentioned,False,False,True,True,False,,,,3.2421377897262573,AGENTICALLY_FIXABLE,H_NOTMENTIONED_CONFUSION_empty_evidence,agentically_fixable,"cross_reference_cue,exception_carveout_cue",search_exception,the gold-relevant chunk itself contains a disambiguating cue the model's chosen (wrong) chunk lacks,False,True,True,False,False,True
train::146::nda-13,Entailment,NotMentioned,False,False,True,True,False,,,,8.948750734329224,MODEL_REASONING_LIMITED,H_NOTMENTIONED_CONFUSION_empty_evidence,model_reasoning_limited,"exception_carveout_cue,defined_term_missing_cue",none_identified,,False,False,False,False,False,True
